10,1036	0,0003	1,06	0,02
20,0346	0,0004	1,06	0,02
50,8047	0,001	1,06	0,02
100,167	0,003	1,06	0,02
150,648	0,002	1,06	0,02
202,021	0,004	1,06	0,02
203,221	0,004	1,05	0,02
250,974	0,006	1,05	0,02
304,381	0,005	1,03	0,02
353,096	0,006	1,03	0,02
402,86	0,008	1,03	0,02
450,381	0,010	1,03	0,02
508,545	0,013	1,02	0,02
552,726	0,015	1,02	0,02
604,927	0,018	1,02	0,02
652,496	0,011	1,02	0,02
703,453	0,012	1,02	0,02
750,413	0,014	1,02	0,02
805,069	0,016	1,02	0,02
853,064	0,018	1,02	0,02
910,26	0,021	1,02	0,02
951,417	0,02	1,01	0,02
1008,14	0,03	1,02	0,02
1252,15	0,04	1,01	0,02
1514,25	0,0	1,02	0,02
2010,12	0,0	1,02	0,02
3004,18	0,1	1,02	0,02
5086,3	0,1	1,02	0,02
10344	0	1,03	0,02
20225	0	1,03	0,02
50689	3	1,02	0,02
10,1036	0,0003	1,06	0,02
20,0346	0,0004	1,06	0,02
50,8047	0,001	1,06	0,02
100,167	0,003	1,06	0,02
150,648	0,002	1,06	0,02
202,021	0,004	1,06	0,02
203,221	0,004	1,05	0,02
250,974	0,006	1,05	0,02
304,381	0,005	1,03	0,02
353,096	0,006	1,03	0,02
402,86	0,008	1,03	0,02
450,381	0,010	1,03	0,02
508,545	0,013	1,02	0,02
552,726	0,015	1,02	0,02
604,927	0,018	1,02	0,02
652,496	0,011	1,02	0,02
703,453	0,012	1,02	0,02
750,413	0,014	1,02	0,02
805,069	0,016	1,02	0,02
853,064	0,018	1,02	0,02
910,26	0,021	1,02	0,02
951,417	0,02	1,01	0,02
1008,14	0,03	1,02	0,02
1252,15	0,04	1,01	0,02
1514,25	0,0	1,02	0,02
2010,12	0,0	1,02	0,02
3004,18	0,1	1,02	0,02
5086,3	0,1	1,02	0,02
10344	0	1,03	0,02
20225	0	1,03	0,02
50689	3	1,02	0,02
10,1036	0,0003	1,06	0,02
20,0346	0,0004	1,06	0,02
50,8047	0,001	1,06	0,02
100,167	0,003	1,06	0,02
150,648	0,002	1,06	0,02
202,021	0,004	1,06	0,02
203,221	0,004	1,05	0,02
250,974	0,006	1,05	0,02
304,381	0,005	1,03	0,02
353,096	0,006	1,03	0,02
402,86	0,008	1,03	0,02
450,381	0,010	1,03	0,02
508,545	0,013	1,02	0,02
552,726	0,015	1,02	0,02
604,927	0,018	1,02	0,02
652,496	0,011	1,02	0,02
703,453	0,012	1,02	0,02
750,413	0,014	1,02	0,02
805,069	0,016	1,02	0,02
853,064	0,018	1,02	0,02
910,26	0,021	1,02	0,02
951,417	0,02	1,01	0,02
1008,14	0,03	1,02	0,02
1252,15	0,04	1,01	0,02
1514,25	0,0	1,02	0,02
2010,12	0,0	1,02	0,02
3004,18	0,1	1,02	0,02
5086,3	0,1	1,02	0,02
10344	0	1,03	0,02
20225	0	1,03	0,02
50689	3	1,02	0,02
10,1036	0,0003	1,06	0,02
20,0346	0,0004	1,06	0,02
50,8047	0,001	1,06	0,02
100,167	0,003	1,06	0,02
150,648	0,002	1,06	0,02
202,021	0,004	1,06	0,02
203,221	0,004	1,05	0,02
250,974	0,006	1,05	0,02
304,381	0,005	1,03	0,02
353,096	0,006	1,03	0,02
402,86	0,008	1,03	0,02
450,381	0,010	1,03	0,02
508,545	0,013	1,02	0,02
552,726	0,015	1,02	0,02
604,927	0,018	1,02	0,02
652,496	0,011	1,02	0,02
703,453	0,012	1,02	0,02
750,413	0,014	1,02	0,02
805,069	0,016	1,02	0,02
853,064	0,018	1,02	0,02
910,26	0,021	1,02	0,02
951,417	0,02	1,01	0,02
1008,14	0,03	1,02	0,02
1252,15	0,04	1,01	0,02
1514,25	0,0	1,02	0,02
2010,12	0,0	1,02	0,02
3004,18	0,1	1,02	0,02
5086,3	0,1	1,02	0,02
10344	0	1,03	0,02
20225	0	1,03	0,02
50689	3	1,02	0,02
